municipality,rows,mean_gt_value,MAE,MAPE,Bias
's-Hertogenbosch,45,553568.7333333333,31107.04742635092,5.62663552201089,-0.5153960487014793
Alkmaar,22,538532.5,36970.560243682405,6.531500603616229,0.8196006641310508
Amersfoort,36,644476.9722222222,38303.49586926313,5.4613372755285905,1.1888241515172717
Amsterdam,46,760210.9347826086,53586.861681456605,6.573119134529111,0.4463869121326535
Eijsden-Margraten,25,498337.36,34858.197082159866,6.682364733344164,3.226986540519563
Eindhoven,26,528580.2692307692,35685.564118501825,7.608127284666194,4.634614441206122
Haarlem,42,821964.5714285715,52921.72350493488,6.280667382113625,-0.8992245024901178
Haarlemmermeer,26,709523.0769230769,78084.3198150408,8.319391436851195,-0.8685737371920049
Heerlen,34,317488.76470588235,18142.824508622678,5.478915690124997,1.8594362216367972
Hoeksche Waard,26,526701.9230769231,31751.625529834724,5.9956908800342195,0.035552892047270204
Landgraaf,25,347560.84,35798.99330945375,9.814007651639901,3.3762693206457772
Maastricht,36,542164.4444444445,36268.29410420695,6.465673705428583,1.216863293976272
Meierijstad,21,521891.0,32345.379182428842,5.499172348647614,2.1600334306168243
Nieuwegein,26,512874.8076923077,20607.626362598185,3.8954421602487974,1.5036172890462813
Oss,22,482971.5909090909,22114.36886144149,4.879025649253988,2.0013818157009244
Purmerend,32,498533.4375,16715.09304597944,3.455742760541746,1.521193136240371
Roermond,21,416822.38095238095,23382.83644901581,5.427001932300366,0.20494357257066326
Sittard-Geleen,41,391501.2195121951,35275.08796309992,8.725867898536247,-1.3956032143451385
Tiel,21,440650.71428571426,25743.20820064789,5.559598482381587,-1.9065610833419806
Utrecht,67,711592.8059701492,46256.14685414085,6.598521713672434,-0.7637101959975837
Venlo,24,403246.4583333333,33921.741532252185,8.78263481215502,6.515722820024052
West Betuwe,22,604829.3636363636,26895.26509417262,4.042668123294019,2.38609488208281
Zaanstad,42,499975.88095238095,39029.7461082951,8.731421880616924,5.611966894894263
Zwolle,21,632992.8571428572,36623.463242909296,5.97266079793493,-2.758938491580058
