view,scenario,sources,n,MAPE_mean,MAPE_std
cohort,WOZ only,1,30993,7.87132860488703,0.07708575824833233
cohort,source_1,1,20744,8.698013693782794,0.15857018746081
cohort,source_1 + WOZ,2,20634,7.238846312879647,0.1810224284393341
cohort,source_1 + source_2,2,16146,8.277833467542145,0.15056599963958214
cohort,sources 1+2+3,3,9829,8.085726809748001,0.267296005654174
cohort,sources 1+2+3 + WOZ,4,9809,7.113968262040181,0.21070665575801487
cohort,all + source_4,5,1809,7.274577529466834,0.6395620498341446
ablation,WOZ only,1,1809,9.13150194540118,0.30152758369508026
ablation,source_1,1,1809,8.530440848552196,0.5264925474414309
ablation,source_1 + WOZ,2,1809,8.039069755872976,0.39493083645843596
ablation,source_1 + source_2,2,1809,8.281162901967885,0.6137561126447391
ablation,sources 1+2+3,3,1809,8.171823118883697,0.5826754174041929
ablation,sources 1+2+3 + WOZ,4,1809,7.915472821600185,0.5172761215981214
ablation,all + source_4,5,1809,7.274577529466834,0.6395620498341443
